Resolution,Site,Year_Month,Total_surface_dic_masked,MeanU10m
1,4,2004_02,8072877449190.067,5.846298571261649
1,7,2004_02,10226496999605.566,8.674795668968823
1,12,2004_02,21571614621557.15,5.284222536321556
1,4,2004_03,6782398578018.24,6.850082713569506
1,7,2004_03,6340639059571.595,8.826297273139396
1,12,2004_03,11506735061119.154,6.482981663553404
1,4,2004_04,6388153563316.654,6.338194461749204
1,7,2004_04,4232044854729.66,6.331608279397041
1,12,2004_04,7368686560748.758,6.096190554019826
1,4,2004_05,6699415461713.758,7.266061824844394
1,7,2004_05,2721138335975.17,7.489078014037897
1,12,2004_05,4478214066649.306,7.948186335569081
1,4,2004_06,6148298432725.23,7.417635021444456
1,7,2004_06,1620513561170.2937,8.591826017727083
1,12,2004_06,2587615247376.9717,5.925311248062145
1,4,2004_07,5603073516744.661,6.551703397572937
1,7,2004_07,1056290412490.3904,7.379248803219592
1,12,2004_07,1706010742644.2134,7.395403854489473
1,4,2004_08,5024870158358.494,6.348215220113026
1,7,2004_08,784963053191.0717,8.716024713952612
1,12,2004_08,1152317603900.3408,7.230365065327367
1,4,2004_09,4446521634230.436,5.354856163765696
1,7,2004_09,639818761770.638,7.061456998456638
1,12,2004_09,949440202385.2024,7.575150117912571
1,4,2004_10,4154867514827.3325,5.601755401706844
1,7,2004_10,560692193936.0957,7.776401225675534
1,12,2004_10,892374014404.2051,6.888166831026691
1,4,2004_11,3752860628391.599,6.376835700920901
1,7,2004_11,476200530461.779,7.698698526324467
1,12,2004_11,850750278490.6636,6.307723746497523
1,4,2004_12,3191261737150.2134,6.446520975079521
1,7,2004_12,361585005858.7303,7.507294548199574
1,12,2004_12,744740513356.3428,4.936595707562442
1,4,2005_01,2650505297739.825,7.483336333726439
1,7,2005_01,305427553134.35474,8.428435507237856
1,12,2005_01,654225009998.0828,6.023500378556718
1,4,2005_02,2176111451795.5383,7.437329968019754
1,7,2005_02,270091824262.9095,7.845185332813916
1,12,2005_02,544608637227.7391,6.1028246161403805
1,4,2005_03,1888783216628.6404,6.964518606942267
1,7,2005_03,227618190307.1524,6.773832478606943
1,12,2005_03,506514386347.2528,5.649317868254139
1,4,2005_04,1673719976743.4968,6.9433347552510325
1,7,2005_04,202065645420.76483,6.873454362881569
1,12,2005_04,528753623289.3351,7.336176792083217
1,4,2005_05,1485706293719.3408,6.158253179927219
1,7,2005_05,176608625018.2388,7.709524348141472
1,12,2005_05,552445737746.2229,6.111654173122183
1,4,2005_06,1307681751585.2488,6.304297641334744
1,7,2005_06,184794719101.00552,9.189495113309961
1,12,2005_06,559025885451.9434,6.669112488240305
1,4,2005_07,1221537103482.6345,6.265374431713297
1,7,2005_07,212343748209.46655,8.752850995108462
1,12,2005_07,553096680233.995,6.492612420377521
1,4,2005_08,1163994561071.799,5.866782910931491
1,7,2005_08,233008328121.82724,8.526407088417946
1,12,2005_08,527467088515.4291,7.41590793278529
1,4,2005_09,1133182446730.9336,5.611978567267991
1,7,2005_09,251336653119.43942,9.490122897222797
1,12,2005_09,468224140016.1402,5.834713128167808
1,4,2005_10,1127317430381.2048,6.050136781743297
1,7,2005_10,245305209014.68506,8.083784193551073
1,12,2005_10,411268997164.94226,7.18386290018363
1,4,2005_11,1087324852152.6471,6.539412288927944
1,7,2005_11,204682995417.83542,7.901515420151807
1,12,2005_11,370839570455.9984,5.7627512599076445
1,4,2005_12,1015602547015.6686,6.602078696372564
1,7,2005_12,158414189720.0245,7.96447802374727
1,12,2005_12,312592201059.0456,6.222296085059856
1,4,2006_01,945845137471.7346,7.686466292063296
1,7,2006_01,120773051951.3176,8.792362720819607
1,12,2006_01,237534631963.60895,5.809092191967897
1,4,2006_02,859989271323.6641,7.310419391524272
1,7,2006_02,100955546897.5076,7.592144572519234
1,12,2006_02,179268805558.99442,5.660480887465681
1,4,2006_03,786624978750.2883,6.822263733087559
1,7,2006_03,82193487082.44514,7.683692221203783
1,12,2006_03,172904059167.3708,6.835300670850113
1,4,2006_04,717627009999.635,6.267221471524721
1,7,2006_04,78214773957.36182,7.0568581681757925
1,12,2006_04,192904807139.24634,7.2574245382821445
1,4,2006_05,642086341506.75,5.952393606881855
1,7,2006_05,76737628059.83969,6.6806545847945005
1,12,2006_05,226834075688.94214,7.331348883610042
1,4,2006_06,580901468917.2375,6.206089972001791
1,7,2006_06,85073761387.74925,7.282711244733181
1,12,2006_06,242726943729.0652,7.28591807020242
1,4,2006_07,539448299896.10486,6.34503544200036
1,7,2006_07,92707543776.82603,8.239295086838776
1,12,2006_07,250110284047.7084,8.265017930840255
1,4,2006_08,503915064619.2322,5.872236759543918
1,7,2006_08,103677235755.70467,9.26237773086145
1,12,2006_08,244077141938.7596,5.5647704479001625
1,4,2006_09,488164142013.04285,5.730216265741942
1,7,2006_09,108088930769.99077,8.3770367876797
1,12,2006_09,236642328149.26306,7.298701832387048
1,4,2006_10,473168413871.2653,5.9534014635219
1,7,2006_10,97048054020.70476,8.244807608990701
1,12,2006_10,227421040336.7196,7.077725944326712
1,4,2006_11,456198887534.1137,6.240654907686744
1,7,2006_11,77485227925.13063,7.608847742038501
1,12,2006_11,207190163232.5199,6.525295838468944
1,4,2006_12,441350912898.26465,7.052092209890485
1,7,2006_12,59415524071.19616,7.3968547497965345
1,12,2006_12,168879157387.74573,5.676422728874837
1,4,2007_01,419673010691.86005,7.074790296665537
1,7,2007_01,47128773266.75388,7.498066178539606
1,12,2007_01,122570112130.49084,6.427975048133781
1,4,2007_02,391776850348.26556,6.832675229578484
1,7,2007_02,39910330460.0874,8.01767725179103
1,12,2007_02,97484686678.88007,5.852396556827165
1,4,2007_03,366854362779.33307,6.911344955491032
1,7,2007_03,36160991221.858536,7.783916811058261
1,12,2007_03,103338846670.3855,7.448482742254807
1,4,2007_04,340430946009.58856,6.129298426578764
1,7,2007_04,36344871206.64794,7.539332097594593
1,12,2007_04,112085860233.21721,6.587234319611834
1,4,2007_05,306189489079.4232,6.161679062786788
1,7,2007_05,37528770195.87859,8.145235701548266
1,12,2007_05,128071895420.71814,5.792854415545465
1,4,2007_06,266632290434.62714,6.09101669811377
1,7,2007_06,40918669732.69726,9.229508161980949
1,12,2007_06,139717947979.7704,6.257247021674166
1,4,2007_07,237242023458.3555,6.234199230775995
1,7,2007_07,50378662720.37283,9.844828364244924
1,12,2007_07,142414183738.5204,7.307955802792836
1,4,2007_08,218085506185.5632,6.126037491292923
1,7,2007_08,63090967769.14928,9.193383491652108
1,12,2007_08,141153197594.52847,6.669728160112879
1,4,2007_09,207937829298.78186,5.615515932312171
1,7,2007_09,69128750077.5786,8.919294549111694
1,12,2007_09,137416485544.00107,7.150554739913968
1,4,2007_10,204093063132.32397,6.064521992112892
1,7,2007_10,63314632036.50925,7.675003492202693
1,12,2007_10,131671147480.57205,7.274478522061053
1,4,2007_11,202685058101.98343,6.557173557294081
1,7,2007_11,53491657507.91989,7.549249918327054
1,12,2007_11,122544711786.29865,6.177409343047245
1,4,2007_12,200701628894.0553,6.889857786912142
1,7,2007_12,42001272968.798485,7.832859477823463
1,12,2007_12,105221362066.9444,6.148659916464777
0.1,5,2004_01,0.0,0.0
0.1,16,2004_01,6281668066518.172,8.770230219595739
0.1,17,2004_01,0.0,0.0
0.1,5,2004_02,0.0,0.0
0.1,16,2004_02,9250224196106.742,8.157033127240382
0.1,17,2004_02,0.0,0.0
0.1,5,2004_03,0.0,0.0
0.1,16,2004_03,5614132884835.912,7.915041274130745
0.1,17,2004_03,0.0,0.0
0.1,5,2004_04,0.0,0.0
0.1,16,2004_04,3988247121101.6055,7.568174743724821
0.1,17,2004_04,0.0,0.0
0.1,5,2004_05,0.0,0.0
0.1,16,2004_05,2715504769750.5044,9.995590003358721
0.1,17,2004_05,0.0,0.0
0.1,5,2004_06,11810183.655732926,7.30979936688584
0.1,16,2004_06,1678660287281.1128,10.950133562559142
0.1,17,2004_06,11195842.782925379,5.9227763088317
0.1,5,2004_07,11599617098751.979,7.138703290745665
0.1,16,2004_07,961511027475.1373,10.013353065172009
0.1,17,2004_07,15947623493061.23,5.994783621889495
0.1,5,2004_08,11431087819004.498,7.401057144378048
0.1,16,2004_08,649738580887.2263,9.262498026747677
0.1,17,2004_08,19056738716612.11,6.420029827064156
0.1,5,2004_09,6681118474298.339,9.621787865789472
0.1,16,2004_09,518493469725.71094,8.658323142863637
0.1,17,2004_09,9265858125504.244,6.335858673450848
0.1,5,2004_10,2728650356770.968,9.912558394356065
0.1,16,2004_10,431200311551.99866,8.613816463932523
0.1,17,2004_10,5982210854770.027,7.745121135537956
0.1,5,2004_11,1179258839733.5542,10.612383046204325
0.1,16,2004_11,370697672757.4314,8.93028411558908
0.1,17,2004_11,3541052898934.5117,8.705099129034041
0.1,5,2004_12,753943249261.9812,12.199584855402342
0.1,16,2004_12,269692502452.1195,7.73815248479649
0.1,17,2004_12,1902688467327.035,10.63820880252271
0.1,5,2005_01,583596452471.2848,11.749590585497028
0.1,16,2005_01,210332848671.42126,8.657183108281124
0.1,17,2005_01,1123784253124.2173,11.164245616593846
0.1,5,2005_02,487813151921.362,10.356736789288284
0.1,16,2005_02,174309650867.06653,8.13637433574447
0.1,17,2005_02,741560673362.169,10.63402354209775
0.1,5,2005_03,415695581574.25934,9.408210008519962
0.1,16,2005_03,152130473720.21136,7.743206933451045
0.1,17,2005_03,591699376554.2168,9.479272544913957
0.1,5,2005_04,382199682269.30414,9.23981740905132
0.1,16,2005_04,150776680367.3234,9.229816037603962
0.1,17,2005_04,500947245329.82086,9.007850431112228
0.1,5,2005_05,322839858000.62103,7.176773076993498
0.1,16,2005_05,170886433340.64633,9.807193245629543
0.1,17,2005_05,408346134409.17554,7.211411356403571
0.1,5,2005_06,252353352800.60052,7.103201470832833
0.1,16,2005_06,200170356134.9617,7.901934765629175
0.1,17,2005_06,301945742862.0361,7.162946344448155
0.1,5,2005_07,197626773746.07947,6.887234904346449
0.1,16,2005_07,224458325314.824,10.34502406225561
0.1,17,2005_07,207857869026.04105,6.033326125976852
0.1,5,2005_08,164138019550.41763,7.571089753156017
0.1,16,2005_08,262840125792.0094,11.311036097962335
0.1,17,2005_08,143931157188.5275,5.6198457383976725
0.1,5,2005_09,176926570382.51883,8.919889507631044
0.1,16,2005_09,271296924663.6764,8.759675236074614
0.1,17,2005_09,121269018802.0869,5.863673031914711
0.1,5,2005_10,209984651811.44812,9.407334196483243
0.1,16,2005_10,249607610493.0272,8.912870256617895
0.1,17,2005_10,121697117652.82448,7.3511997580104875
0.1,5,2005_11,229956166443.71793,9.76210100139208
0.1,16,2005_11,197999781184.92062,8.388567387396883
0.1,17,2005_11,145175748285.33163,8.573599629351618
0.1,5,2005_12,239595452608.5923,9.474725488815531
0.1,16,2005_12,152650918039.08563,9.580620493785238
0.1,17,2005_12,214909767479.16458,11.36702072187742
0.1,5,2006_01,241829028524.53418,11.405999515304266
0.1,16,2006_01,121645321650.29466,8.562049160412563
0.1,17,2006_01,297164110930.9824,10.31858676194468
0.1,5,2006_02,225674727960.61755,10.162064352432248
0.1,16,2006_02,102498088859.90785,8.456044291367462
0.1,17,2006_02,315464745187.6009,10.168618938533648
0.1,5,2006_03,207953091301.96954,9.741020922901722
0.1,16,2006_03,88529202743.48026,8.243503713875569
0.1,17,2006_03,282811662114.54895,8.950541193000758
0.1,5,2006_04,185881829272.57715,8.96621567210136
0.1,16,2006_04,94688036946.47086,9.358862837811346
0.1,17,2006_04,236040599369.54218,7.942446587420363
0.1,5,2006_05,153125352278.08423,7.259252761697995
0.1,16,2006_05,113109221036.07584,9.429786831275434
0.1,17,2006_05,183887834053.69363,7.258043700547908
0.1,5,2006_06,117128726818.3623,6.90180456562196
0.1,16,2006_06,133385324405.33122,9.157881053206623
0.1,17,2006_06,142900344136.1953,6.148154042746353
0.1,5,2006_07,86525950265.30402,6.406859483125171
0.1,16,2006_07,161597631516.0185,9.347482614597194
0.1,17,2006_07,99427122297.73244,6.440154900121034
0.1,5,2006_08,64721285717.78752,5.998902459207433
